,user_id,item_id,type_1,type_2,type_3,type_4
0,59436,184081436,1,0,0,0
1,59436,238861461,1,0,0,0
2,60723,202829025,1,0,0,0
3,60723,371933634,1,0,0,0
4,61797,83261906,1,0,0,0
5,106362,38830684,1,0,0,0
6,106362,149517272,1,0,0,0
7,106362,200051509,1,0,0,0
8,106362,236862264,1,0,0,0
9,106362,308735138,1,0,0,0
10,106362,342598663,1,0,0,0
11,106362,364101379,1,0,0,0
12,106362,377408757,1,0,0,0
13,134211,6491625,1,0,0,0
14,134211,79679783,1,0,0,0
15,134211,96616269,1,0,0,0
16,134211,99999162,1,0,0,0
17,134211,291358470,1,0,0,0
18,134211,330807277,1,0,0,0
19,134211,374778111,1,0,0,0
20,137907,166251701,1,0,0,0
21,140106,4679677,1,0,0,0
22,140106,10163508,1,0,0,0
23,140106,14264945,1,1,0,0
24,140106,22283086,1,0,0,0
25,140106,38855121,1,1,0,0
26,140106,50545277,1,0,0,0
27,140106,53253613,1,0,0,0
28,140106,74839994,1,0,0,0
29,140106,77044060,2,0,0,0
30,140106,98910185,1,0,0,0
31,140106,107968667,1,0,0,0
32,140106,120749617,1,0,0,0
33,140106,132925307,1,1,0,0
34,140106,181241694,1,1,0,0
35,140106,182029470,1,0,0,0
36,140106,185214515,1,1,0,0
37,140106,195857852,1,0,0,0
38,140106,198950680,1,0,0,0
39,140106,212907567,1,1,0,0
40,140106,217718668,1,0,0,0
41,140106,224970307,1,0,0,0
42,140106,226787664,1,0,0,0
43,140106,231387064,2,1,0,0
44,140106,248728181,2,1,0,0
45,140106,249605878,1,0,0,0
46,140106,264982653,1,0,0,0
47,140106,267277495,1,0,0,0
48,140106,333459253,1,0,0,0
49,140106,333617247,1,0,0,0
50,140106,343344765,1,0,0,0
51,140106,360957486,1,0,0,0
52,140106,361662390,1,1,0,0
53,140106,379198278,1,0,0,0
54,140106,394676977,1,0,0,0
55,140106,400947703,1,1,0,0
56,161481,13696954,1,0,0,0
57,161481,14285814,1,0,1,0
58,161481,19246429,1,0,0,0
59,161481,25651335,2,0,1,0
60,161481,27835168,1,0,0,0
61,161481,46870795,1,0,1,0
62,161481,112135226,1,0,0,0
63,161481,130656012,1,0,0,0
64,161481,155199637,1,0,1,0
65,161481,159937453,1,0,0,0
