,user_id,item_id,type_1,type_2,type_3,type_4
0,492,31040941,1,0,0,0
1,59436,184081436,1,0,0,0
2,59436,238861461,1,0,0,0
3,60723,202829025,1,0,0,0
4,60723,371933634,1,0,0,0
5,61797,83261906,1,0,0,0
6,106362,38830684,1,0,0,0
7,106362,149517272,1,0,0,0
8,106362,200051509,1,0,0,0
9,106362,236862264,1,0,0,0
10,106362,308735138,1,0,0,0
11,106362,342598663,1,0,0,0
12,106362,364101379,1,0,0,0
13,106362,377408757,1,0,0,0
14,116418,14902551,1,0,0,0
15,116418,40308284,1,0,0,0
16,116418,44523695,1,0,0,0
17,116418,62686124,1,0,0,0
18,116418,84141319,1,0,0,0
19,116418,90983804,1,0,0,0
20,116418,104679350,1,0,0,0
21,116418,108563276,1,0,0,0
22,116418,138069696,1,0,0,0
23,116418,157434422,1,0,0,0
24,116418,185544700,1,0,0,0
25,116418,206807320,1,0,0,0
26,116418,230278088,1,0,0,0
27,116418,239012007,1,0,0,0
28,116418,249976517,1,0,0,0
29,116418,251705633,1,0,0,0
30,116418,264917968,1,0,0,0
31,116418,290788427,1,0,0,0
32,116418,295063516,1,0,0,0
33,116418,298066327,1,0,0,0
34,116418,298278408,1,0,0,0
35,116418,306665890,1,0,0,0
36,116418,315273663,1,0,0,0
37,116418,363480827,1,0,0,0
38,116418,369365813,1,0,0,0
39,116418,373241695,1,0,0,0
40,116418,391528720,1,0,0,0
41,116418,394347846,1,0,0,0
42,116418,397670044,1,0,0,0
43,116418,400682578,1,0,0,0
44,134211,6491625,1,0,0,0
45,134211,79679783,1,0,0,0
46,134211,96616269,1,0,0,0
47,134211,99999162,1,0,0,0
48,134211,291358470,1,0,0,0
49,134211,330807277,1,0,0,0
50,134211,374778111,1,0,0,0
51,137907,166251701,1,0,0,0
52,140106,4679677,1,0,0,0
53,140106,10163508,1,0,0,0
54,140106,14264945,1,1,0,0
55,140106,22283086,1,0,0,0
56,140106,38855121,1,1,0,0
57,140106,50545277,1,0,0,0
58,140106,53253613,1,0,0,0
59,140106,74839994,1,0,0,0
60,140106,77044060,2,0,0,0
61,140106,98910185,1,0,0,0
62,140106,107968667,1,0,0,0
63,140106,120749617,1,0,0,0
64,140106,132925307,1,1,0,0
65,140106,181241694,1,1,0,0
66,140106,182029470,1,0,0,0
67,140106,185214515,1,1,0,0
68,140106,195857852,1,0,0,0
69,140106,198950680,1,0,0,0
70,140106,212907567,1,1,0,0
71,140106,217718668,1,0,0,0
72,140106,224970307,1,0,0,0
73,140106,226787664,1,0,0,0
74,140106,231387064,2,1,0,0
75,140106,248728181,2,1,0,0
76,140106,249605878,1,0,0,0
77,140106,264982653,1,0,0,0
78,140106,267277495,1,0,0,0
79,140106,333459253,1,0,0,0
80,140106,333617247,1,0,0,0
81,140106,343344765,1,0,0,0
82,140106,360957486,1,0,0,0
83,140106,361662390,1,1,0,0
84,140106,379198278,1,0,0,0
85,140106,394676977,1,0,0,0
86,140106,400947703,1,1,0,0
87,161481,13696954,1,0,0,0
88,161481,14285814,1,0,1,0
