user_id,item_id,type_1,type_2,type_3,type_4_x,type_4_y,labels
3822844,279899759,1,0,0,0,0,0
5989643,44863092,1,0,0,0,0,0
6264206,208561894,1,0,0,0,0,0
11463048,184418300,1,1,0,0,0,0
15280372,255586044,1,0,0,0,0,0
16829752,76658326,1,0,0,0,0,0
17465740,3895767,1,0,0,0,0,0
18586810,79173626,1,1,0,0,0,0
19280462,27645895,1,0,0,0,0,0
19947521,278685655,1,0,0,0,0,0
20140845,208939679,3,0,0,0,0,0
22363890,279187580,1,0,0,0,0,0
26601478,43805116,4,0,0,1,0,0
27226408,362937171,1,0,0,0,0,0
28262846,140665437,1,0,0,0,0,0
34421464,186898873,1,0,0,0,0,0
34452439,38695479,1,0,0,0,0,0
35725961,314155519,1,0,0,0,0,0
36067043,208814306,1,0,0,0,0,0
36529724,123305018,1,0,0,0,0,0
44902634,37677904,1,0,0,0,0,0
48536865,251684788,1,0,0,0,0,0
49582032,158585993,1,0,0,0,0,0
49582032,404561620,1,0,0,0,0,0
49650021,374049995,1,0,0,0,0,0
50351854,237908618,1,0,0,0,0,0
50845804,1985358,1,0,0,0,0,0
51183124,18848107,1,0,0,0,0,0
51282943,63587621,1,0,0,0,0,0
59389326,234238609,1,0,0,0,0,0
59486808,357970591,1,0,0,0,0,0
60023876,238115965,1,0,0,0,0,0
60891335,93468535,1,0,0,0,0,0
102968272,271150414,0,0,1,0,0,0
103983985,120759769,1,0,0,0,0,0
111013189,300459054,1,0,0,0,0,0
112658053,267818176,1,0,0,0,0,0
113937242,386787627,1,0,0,0,0,0
114069068,336449474,1,0,0,0,0,0
121271681,304160901,4,0,1,0,0,0
121492295,317603886,1,0,0,0,0,0
123110843,188751794,1,0,1,0,0,0
125042321,17278496,2,0,0,0,0,0
126153066,295432666,1,0,0,0,0,0
128170431,215882225,1,1,0,0,0,0
128228607,247607392,1,0,0,0,0,0
130211828,101683606,1,0,0,0,0,0
130388345,254277287,1,0,0,0,0,0
132985025,371898227,1,0,0,0,0,0
133597154,277765896,1,0,0,0,0,0
134966268,197489806,1,0,0,0,0,0
137344506,55280824,1,0,0,0,0,0
140557337,46323926,2,1,0,0,0,0
140692268,356428966,1,0,0,0,0,0
116418,104679350,1,0,0,0,0,0
256830,396599445,1,0,0,0,0,0
302466,37443139,1,0,1,0,0,0
335949,150001123,1,0,0,0,0,0
335949,214080409,1,0,0,0,0,0
335949,248315639,1,0,0,0,0,0
447828,110020109,1,0,1,0,0,0
447828,390264302,1,0,0,0,0,0
487386,366254378,1,0,0,0,0,0
511884,75771428,1,0,0,1,0,0
595845,50357438,2,0,0,0,0,0
595845,223263465,2,1,0,0,0,0
595845,280873869,2,1,0,0,0,0
621654,88374965,1,0,0,0,0,0
621654,201009560,1,0,0,0,0,0
1051240,60565332,1,0,0,0,0,0
1107934,287355493,1,0,0,0,0,0
1107934,368529303,1,0,0,0,0,0
1133104,118935479,1,0,0,0,0,0
1154080,323853586,1,0,0,0,0,0
1164136,210588790,3,0,1,1,0,0
1183516,39767760,1,0,0,0,0,0
1183516,84777944,1,0,0,0,0,0
1183516,103959012,1,0,0,0,0,0
1183516,120754855,1,0,0,0,0,0
1183516,372453693,1,0,0,0,0,0
1246228,359595967,1,1,0,0,0,0
1254859,133459103,1,0,0,0,0,0
1254859,292487219,1,0,0,0,0,0
1285111,348825143,1,0,0,0,0,0
1287220,242552271,1,0,0,0,0,0
1321831,12402482,1,0,0,0,0,0
1321831,109873069,1,0,0,0,0,0
1321831,267212525,1,0,0,0,0,0
1382821,10032377,1,0,0,0,0,0
1382821,211843433,2,0,0,0,0,0
1382821,322968860,1,0,1,0,0,0
1383268,298670250,1,0,0,0,0,0
1446949,202741760,1,0,0,0,0,0
1453366,32060096,1,0,0,0,0,0
1453366,318701323,1,0,0,0,0,0
1460581,198600891,1,0,0,0,0,0
1460581,343245595,1,0,0,0,0,0
1601167,131344575,2,1,0,0,0,0
1762840,353924995,6,1,0,1,0,0
1832311,182186178,1,0,0,0,0,0
1890157,248877448,1,0,0,0,0,0
1903255,45830773,1,0,0,0,0,0
1903255,223112840,1,0,0,0,0,0
1903255,258443910,1,0,0,0,0,0
1953838,269976923,1,0,0,0,0,0
1970368,353924995,1,0,0,0,0,0
1996141,83999612,1,0,0,0,0,0
1996141,304121817,1,0,0,1,0,0
2069029,161897910,1,0,0,0,0,0
2069029,350040080,1,0,0,0,0,0
2137246,88362797,1,0,0,0,0,0
2158792,325585205,1,0,0,0,0,0
2177545,355769426,1,0,0,0,0,0
2295319,355705389,1,0,0,0,0,0
2336722,154068224,1,0,0,0,0,0
2336722,241851034,1,0,0,0,0,0
2336722,266983565,1,0,0,0,0,0
2336722,361998884,1,1,0,0,0,0
2361256,394748923,1,0,0,0,0,0
2412715,269161274,1,1,0,0,0,0
2454724,215675809,1,1,0,0,0,0
2454724,269475099,1,1,0,0,0,0
2630830,280658145,1,0,1,0,0,0
2676031,51416086,1,0,0,0,0,0
2676031,232817882,1,0,0,0,0,0
2765110,167750979,1,0,0,0,0,0
2823595,157572815,1,0,0,0,0,0
2860711,354313936,1,0,0,0,0,0
2876752,283298284,2,0,0,0,0,0
2925760,698978,1,0,0,0,0,0
2925760,314953841,1,0,0,0,0,0
3102775,131483294,1,0,0,0,0,0
3125974,153669154,1,0,0,0,0,0
3138433,231705057,1,0,0,0,0,0
3140737,139780600,1,0,0,0,0,0
3268258,100855113,1,0,0,0,0,0
3268258,187367228,1,0,0,0,0,0
3285586,137202006,1,0,0,0,0,0
3285586,154726888,1,0,0,0,0,0
3285586,215090200,2,0,0,0,0,0
3285586,217100250,2,0,0,0,0,0
3285586,303377531,1,0,0,0,0,0
3285586,304524013,1,0,1,0,0,0
3285586,312689341,1,0,0,0,0,0
3311167,164284569,1,0,0,0,0,0
3320605,93319034,1,0,0,0,0,0
3320605,261515017,2,0,0,0,0,0
3376717,68307763,1,0,0,0,0,0
3376717,72566011,1,0,0,0,0,0
3387352,382473482,1,0,1,0,0,0
3434650,252212116,1,0,0,0,0,0
3454078,15086187,1,0,0,0,0,0
3454078,211956128,1,0,0,0,0,0
3541447,67816932,1,0,0,0,0,0
3541447,362823754,1,0,0,0,0,0
3577960,223968818,1,0,0,0,0,0
3577960,248677813,1,0,0,0,0,0
3578977,178106757,1,0,0,0,0,0
3665947,1102317,1,0,1,0,0,0
3686296,150262332,1,1,0,0,0,0
3717301,118546549,2,0,1,1,0,0
3727471,319045549,1,0,0,0,0,0
3745759,230554994,1,0,0,0,0,0
3779593,202043698,1,0,0,0,0,0
3784471,172824014,1,0,0,0,0,0
3883093,402531453,1,0,0,0,0,0
3906019,176398734,1,0,0,0,0,0
3914479,164842579,1,0,0,0,0,0
3914479,180719627,1,0,0,0,0,0
3914479,355484441,1,0,0,0,0,0
3914479,402297086,1,0,0,0,0,0
3927337,176842457,1,0,0,0,0,0
4011659,92421839,1,0,0,0,0,0
4024973,87753787,1,0,0,0,0,0
4045493,28481787,1,0,0,0,0,0
4045493,123405604,1,0,1,1,0,0
4045892,53613395,2,0,0,0,0,0
4050770,243428760,1,0,0,0,0,0
4050770,356116326,2,0,0,0,0,0
4086200,21035811,1,0,0,0,0,0
4086200,94025823,1,0,0,0,0,0
4326890,397416736,1,0,0,0,0,0
4328543,141701603,1,0,0,0,0,0
4328543,148672829,1,0,0,0,0,0
4328543,150239674,1,0,0,0,0,0
4328543,186917659,1,0,0,0,0,0
4353077,112937590,1,0,0,0,0,0
4486844,41110415,1,0,0,0,0,0
4498439,134632501,1,0,0,0,0,0
4564376,39072231,4,0,2,1,0,0
4579514,31541963,1,0,0,0,0,0
4611845,18110551,1,0,0,0,0,0
4655906,119518504,1,0,0,0,0,0
4860935,344960049,1,0,0,0,0,0
4915814,380284236,3,0,0,1,0,0
5008661,70050738,1,0,0,0,0,0
